TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ASXL1	-0.847	8.015e-01	-14.090	0.352	0.801	9.647e-01
ZNF83	-1.281	8.998e-01	-11.510	0.371	0.802	9.651e-01
RUVBL1	-0.834	7.980e-01	-15.697	0.353	0.802	9.651e-01
HOXA4	-0.909	8.183e-01	-11.477	0.348	0.802	9.651e-01
HLTF	-1.282	9.000e-01	-7.183	0.352	0.803	9.654e-01
INTS12	-0.936	8.253e-01	-9.902	0.347	0.803	9.654e-01
NFYB	-1.420	9.222e-01	-8.229	0.370	0.803	9.658e-01
E2F3	-0.924	8.222e-01	-11.040	0.348	0.804	9.660e-01
DPF1	-1.457	9.275e-01	-9.032	0.373	0.804	9.662e-01
PHIP	-1.998	9.772e-01	-7.520	0.377	0.806	9.673e-01
ID3	-1.290	9.015e-01	-7.132	0.350	0.807	9.678e-01
ZNF282	-1.662	9.518e-01	-3.565	0.335	0.808	9.680e-01
MXD3	-0.874	8.090e-01	-14.567	0.351	0.808	9.680e-01
TAF7	-1.606	9.459e-01	-12.997	0.381	0.809	9.687e-01
TFDP1	-2.131	9.835e-01	-16.003	0.392	0.812	9.703e-01
ZNF783	-1.217	8.883e-01	-6.160	0.329	0.813	9.708e-01
SIN3A	-3.644	9.999e-01	-24.949	0.408	0.814	9.710e-01
HDAC8	-1.445	9.257e-01	-8.713	0.364	0.814	9.711e-01
RFX2	-0.900	8.158e-01	-16.008	0.349	0.814	9.711e-01
IRF3	-1.252	8.946e-01	-13.980	0.368	0.815	9.715e-01
IRAK1	-0.924	8.224e-01	-13.668	0.348	0.815	9.715e-01
MNT	-1.457	9.275e-01	-8.900	0.365	0.815	9.716e-01
KRAB	-1.939	9.737e-01	-7.438	0.371	0.815	9.716e-01
TGIF2	-1.242	8.929e-01	-9.695	0.355	0.816	9.718e-01
GLIS2	-1.479	9.305e-01	-5.617	0.340	0.816	9.721e-01
ZBTB7B	-0.920	8.212e-01	-14.602	0.348	0.817	9.723e-01
SREBF1	-1.392	9.181e-01	-12.698	0.371	0.817	9.726e-01
ZBTB14	-1.246	8.935e-01	-6.128	0.327	0.817	9.726e-01
BPTF	-0.974	8.351e-01	-13.062	0.344	0.820	9.739e-01
PRAME	-1.050	8.532e-01	-11.299	0.340	0.821	9.741e-01
PCGF1	-1.751	9.600e-01	-5.902	0.352	0.822	9.747e-01
NFRKB	-1.302	9.036e-01	-8.203	0.348	0.823	9.751e-01
STAT2	-1.667	9.522e-01	-8.988	0.367	0.824	9.754e-01
PAF1	-4.973	1.000e+00	-29.093	0.407	0.826	9.763e-01
KAT8	-1.656	9.511e-01	-10.039	0.368	0.826	9.765e-01
MXI1	-2.071	9.808e-01	-17.439	0.387	0.828	9.771e-01
EGR1	-2.389	9.916e-01	-12.383	0.382	0.828	9.771e-01
BRD2	-2.697	9.965e-01	-25.337	0.396	0.829	9.775e-01
REL	-1.492	9.322e-01	-7.623	0.352	0.829	9.776e-01
LEO1	-1.328	9.079e-01	-6.060	0.323	0.830	9.778e-01
HOXA6	-1.042	8.513e-01	-13.941	0.340	0.830	9.780e-01
ZNF281	-1.205	8.859e-01	-8.610	0.330	0.831	9.783e-01
IRAK4	-0.965	8.328e-01	-17.643	0.345	0.831	9.785e-01
ZNF75A	-0.959	8.312e-01	-20.679	0.345	0.835	9.797e-01
CCNT2	-1.124	8.696e-01	-11.323	0.335	0.835	9.798e-01
PATZ1	-1.644	9.499e-01	-8.720	0.356	0.837	9.803e-01
MAFB	-1.037	8.500e-01	-16.607	0.341	0.837	9.803e-01
RAG2	-1.209	8.867e-01	-9.189	0.330	0.837	9.805e-01
KLF1	-2.511	9.940e-01	-9.809	0.374	0.837	9.806e-01
RBBP5	-2.479	9.934e-01	-11.929	0.377	0.838	9.807e-01
ZNF639	-2.170	9.850e-01	-16.295	0.382	0.838	9.810e-01
TDRD3	-0.968	8.334e-01	-22.463	0.345	0.839	9.812e-01
KDM4C	-1.123	8.692e-01	-13.096	0.335	0.841	9.818e-01
HOXA1	-1.083	8.607e-01	-16.055	0.338	0.842	9.822e-01
SREBF2	-1.160	8.771e-01	-12.041	0.333	0.842	9.823e-01
GTF3C2	-1.595	9.446e-01	-9.061	0.351	0.843	9.825e-01
BCL11B	-2.606	9.954e-01	-22.691	0.387	0.843	9.826e-01
ZNF687	-1.614	9.467e-01	-6.855	0.335	0.843	9.827e-01
E2F1	-8.057	1.000e+00	-26.549	0.398	0.844	9.828e-01
GABP	-1.347	9.111e-01	-13.611	0.354	0.844	9.829e-01
HDAC6	-1.353	9.120e-01	-13.238	0.352	0.845	9.832e-01
SP3	-1.330	9.083e-01	-12.490	0.348	0.846	9.835e-01
SNAPC1	-1.093	8.628e-01	-17.906	0.337	0.849	9.845e-01
HBP1	-1.330	9.083e-01	-13.935	0.349	0.849	9.846e-01
GABPA	-4.014	1.000e+00	-22.557	0.391	0.850	9.848e-01
NCAPH2	-1.984	9.764e-01	-5.105	0.320	0.851	9.852e-01
INTS11	-2.289	9.890e-01	-6.116	0.342	0.852	9.854e-01
ELK3	-1.087	8.616e-01	-22.353	0.337	0.853	9.856e-01
ASCL2	-1.143	8.736e-01	-16.216	0.334	0.855	9.862e-01
ATF1	-2.482	9.935e-01	-16.386	0.377	0.855	9.863e-01
MBTD1	-1.118	8.682e-01	-18.613	0.335	0.856	9.864e-01
RBL2	-2.200	9.861e-01	-26.971	0.383	0.856	9.866e-01
ARNT2	-1.200	8.850e-01	-15.111	0.330	0.856	9.866e-01
TBP	-2.314	9.897e-01	-23.077	0.380	0.857	9.867e-01
KLF6	-1.218	8.884e-01	-13.831	0.329	0.857	9.868e-01
ETS1	-3.943	1.000e+00	-13.701	0.378	0.858	9.872e-01
SIX5	-1.839	9.671e-01	-18.041	0.369	0.859	9.874e-01
E2F4	-2.719	9.967e-01	-53.502	0.392	0.860	9.875e-01
CDK6	-1.116	8.677e-01	-23.281	0.335	0.861	9.879e-01
MCRS1	-1.074	8.586e-01	-27.447	0.338	0.862	9.882e-01
ELF1	-3.061	9.989e-01	-29.597	0.387	0.862	9.883e-01
HMGN3	-1.282	9.000e-01	-13.642	0.325	0.864	9.887e-01
FGFR1	-1.720	9.573e-01	-9.003	0.336	0.865	9.890e-01
PHF6	-1.317	9.061e-01	-13.015	0.323	0.868	9.896e-01
ATOH1	-1.098	8.640e-01	-29.914	0.337	0.869	9.899e-01
NPAT	-1.211	8.871e-01	-18.887	0.329	0.869	9.899e-01
KDM4B	-1.429	9.235e-01	-18.931	0.350	0.870	9.901e-01
FEV	-1.302	9.035e-01	-14.573	0.324	0.872	9.906e-01
KLF9	-3.003	9.987e-01	-12.356	0.361	0.875	9.912e-01
ZNF711	-1.174	8.799e-01	-26.738	0.332	0.877	9.917e-01
HCFC1	-2.494	9.937e-01	-34.265	0.379	0.877	9.917e-01
TAF1	-3.499	9.998e-01	-32.546	0.381	0.883	9.928e-01
CHD1	-4.131	1.000e+00	-23.293	0.376	0.884	9.929e-01
FOXD2	-1.338	9.096e-01	-16.021	0.322	0.884	9.929e-01
THAP1	-1.260	8.961e-01	-25.087	0.327	0.885	9.932e-01
ELF2	-1.150	8.748e-01	-36.364	0.333	0.885	9.932e-01
ARID2	-1.733	9.585e-01	-18.402	0.349	0.886	9.934e-01
GTF2E2	-1.327	9.078e-01	-19.014	0.323	0.888	9.937e-01
HMGN1	-1.376	9.157e-01	-17.748	0.320	0.893	9.945e-01
GTF2B	-3.417	9.997e-01	-37.317	0.377	0.896	9.950e-01
ZSCAN22	-1.718	9.571e-01	-23.346	0.347	0.896	9.950e-01
KLF12	-1.447	9.260e-01	-17.591	0.317	0.898	9.952e-01
VEZF1	-1.673	9.528e-01	-18.671	0.334	0.899	9.953e-01
ZIC2	-1.331	9.084e-01	-26.237	0.323	0.900	9.956e-01
GMEB1	-1.268	8.976e-01	-38.963	0.326	0.902	9.957e-01
NFAT5	-1.442	9.254e-01	-22.419	0.317	0.903	9.958e-01
KLF10	-1.614	9.468e-01	-25.594	0.335	0.903	9.958e-01
CPSF3L	-2.265	9.883e-01	-32.552	0.360	0.906	9.963e-01
ZBTB11	-2.584	9.951e-01	-26.649	0.357	0.907	9.964e-01
BARX2	-1.316	9.058e-01	-35.130	0.323	0.907	9.964e-01
ZBTB10	-1.406	9.201e-01	-26.029	0.319	0.908	9.965e-01
DEAF1	-1.292	9.018e-01	-47.004	0.325	0.908	9.965e-01
ELL2	-3.213	9.993e-01	-24.226	0.360	0.908	9.965e-01
ORC1	-1.355	9.123e-01	-29.363	0.321	0.909	9.967e-01
SP2	-2.612	9.955e-01	-17.041	0.343	0.909	9.967e-01
SUPT5H	-3.639	9.999e-01	-28.693	0.364	0.910	9.967e-01
NKRF	-1.845	9.675e-01	-19.536	0.328	0.911	9.968e-01
HEY1	-1.833	9.666e-01	-18.502	0.325	0.911	9.968e-01
KMT2D	-3.064	9.989e-01	-26.073	0.359	0.911	9.968e-01
SRSF3	-1.665	9.520e-01	-30.230	0.336	0.912	9.969e-01
POLR2B	-1.953	9.746e-01	-25.719	0.339	0.912	9.969e-01
SAP30	-2.987	9.986e-01	-23.810	0.352	0.913	9.971e-01
OGT	-2.240	9.874e-01	-39.223	0.357	0.914	9.972e-01
KLF13	-1.852	9.680e-01	-22.825	0.326	0.916	9.974e-01
MAPK1	-2.347	9.905e-01	-12.872	0.302	0.918	9.975e-01
NRF1	-6.116	1.000e+00	-30.255	0.363	0.920	9.977e-01
NFYA	-2.746	9.970e-01	-25.014	0.346	0.922	9.978e-01
TAF3	-1.604	9.456e-01	-26.727	0.306	0.925	9.981e-01
CSNK2A1	-1.499	9.331e-01	-32.276	0.313	0.925	9.981e-01
RBCK1	-1.491	9.320e-01	-33.153	0.314	0.925	9.981e-01
SMAD5	-1.926	9.730e-01	-24.699	0.322	0.926	9.982e-01
NFYC	-1.485	9.312e-01	-35.926	0.314	0.927	9.982e-01
TCOF1	-1.710	9.564e-01	-23.224	0.291	0.927	9.983e-01
FXR1	-1.728	9.580e-01	-22.962	0.276	0.928	9.983e-01
SPIN1	-1.526	9.364e-01	-34.150	0.311	0.929	9.984e-01
ELK1	-3.149	9.992e-01	-30.671	0.348	0.932	9.986e-01
ZNF131	-1.526	9.365e-01	-43.126	0.311	0.934	9.987e-01
FAM208A	-2.253	9.879e-01	-20.373	0.309	0.935	9.988e-01
BRD1	-1.698	9.553e-01	-28.100	0.294	0.935	9.988e-01
AUTS2	-1.659	9.514e-01	-32.443	0.301	0.935	9.988e-01
KAT7	-1.689	9.544e-01	-30.716	0.296	0.938	9.989e-01
DCP1A	-1.881	9.700e-01	-57.583	0.328	0.938	9.989e-01
RBP2	-1.602	9.454e-01	-244.768	0.306	0.941	9.991e-01
PHF2	-2.120	9.830e-01	-29.409	0.314	0.943	9.991e-01
EMSY	-1.629	9.483e-01	-71.459	0.304	0.943	9.991e-01
ELK4	-2.638	9.958e-01	-32.496	0.330	0.944	9.992e-01
TAFII	-2.024	9.785e-01	-38.611	0.323	0.944	9.992e-01
EPC1	-2.135	9.836e-01	-36.705	0.316	0.950	9.995e-01
BRPF3	-2.899	9.981e-01	-23.670	0.302	0.952	9.995e-01
PHF8	-5.273	1.000e+00	-39.998	0.345	0.954	9.996e-01
KDM5A	-2.757	9.971e-01	-47.878	0.329	0.955	9.996e-01
RPE	-2.875	9.980e-01	-34.024	0.321	0.958	9.997e-01
DDX21	-2.217	9.867e-01	-91.148	0.313	0.960	9.997e-01
KAT5	-2.624	9.957e-01	-41.952	0.318	0.961	9.997e-01
GMEB2	-2.397	9.917e-01	-160.999	0.299	0.968	9.999e-01
U2AF1	-3.007	9.987e-01	-59.299	0.316	0.969	9.999e-01
NELFA	-4.982	1.000e+00	-83.697	0.327	0.971	9.999e-01
