TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZNF674	0.040	4.840e-01	-1.753	0.555	0.735	9.164e-01
SFPQ	-1.190	8.830e-01	0.554	0.510	0.736	9.174e-01
LMNB1	-0.872	8.085e-01	0.267	0.521	0.738	9.187e-01
PBX3	-0.969	8.337e-01	-2.095	0.577	0.740	9.207e-01
LIN9	-0.557	7.114e-01	-0.204	0.533	0.740	9.207e-01
ZNF573	-0.553	7.098e-01	-0.275	0.533	0.742	9.227e-01
CCND2	-0.001	5.004e-01	-1.942	0.553	0.748	9.277e-01
WT1	-0.110	5.438e-01	-1.427	0.552	0.750	9.296e-01
CAMTA2	-0.373	6.455e-01	-0.587	0.539	0.750	9.299e-01
SCRT1	-0.828	7.962e-01	-0.387	0.547	0.751	9.302e-01
HDAC3	-1.489	9.318e-01	-0.577	0.558	0.752	9.314e-01
ZNF580	0.063	4.748e-01	-3.129	0.557	0.753	9.320e-01
EBNA3	-0.647	7.411e-01	-0.207	0.529	0.753	9.326e-01
EHMT2	-4.791	1.000e+00	-3.196	0.592	0.755	9.335e-01
CDX2	-2.167	9.849e-01	-0.160	0.550	0.756	9.343e-01
MYF5	-0.191	5.758e-01	-0.963	0.546	0.757	9.358e-01
BATF3	-0.843	8.003e-01	-0.029	0.522	0.758	9.366e-01
FOXO1	-1.527	9.366e-01	-0.468	0.554	0.759	9.369e-01
JUN	-2.952	9.984e-01	-0.699	0.567	0.760	9.375e-01
JARID2	-2.503	9.938e-01	0.005	0.544	0.760	9.380e-01
INTS3	-0.067	5.268e-01	-1.935	0.551	0.761	9.386e-01
ZNF346	0.045	4.822e-01	-4.418	0.556	0.762	9.397e-01
MAFK	-1.756	9.604e-01	-0.576	0.558	0.763	9.400e-01
ZNF671	-0.154	5.611e-01	-1.358	0.547	0.764	9.405e-01
HDAC4	-0.258	6.020e-01	-0.899	0.543	0.764	9.410e-01
GFI1B	-0.596	7.243e-01	-1.435	0.559	0.768	9.437e-01
NOTCH3	-1.193	8.835e-01	0.104	0.510	0.768	9.440e-01
ZNF394	-0.052	5.208e-01	-2.489	0.552	0.769	9.442e-01
SOX10	-1.077	8.592e-01	-0.012	0.513	0.771	9.458e-01
SMAD2	-1.984	9.764e-01	0.237	0.523	0.771	9.463e-01
CHAT	-2.119	9.829e-01	0.467	0.502	0.771	9.463e-01
HOXA2	-0.072	5.288e-01	-2.201	0.550	0.771	9.463e-01
EWSR1	-1.296	9.026e-01	-0.659	0.554	0.772	9.465e-01
EBNA2	-0.491	6.881e-01	-0.637	0.535	0.773	9.473e-01
ZNF518A	-0.026	5.105e-01	-3.378	0.553	0.773	9.475e-01
NANOG	-5.832	1.000e+00	-0.299	0.552	0.774	9.480e-01
IRF4	-1.460	9.279e-01	-0.358	0.544	0.774	9.483e-01
ZNF695	-0.022	5.089e-01	-3.312	0.552	0.776	9.493e-01
ZFP37	-0.030	5.120e-01	-3.382	0.553	0.776	9.497e-01
NEUROG2	-2.030	9.788e-01	-0.211	0.544	0.778	9.505e-01
PRDM10	-0.257	6.013e-01	-1.392	0.546	0.780	9.524e-01
SP7	-0.180	5.713e-01	-1.942	0.548	0.784	9.547e-01
ZNF362	-0.689	7.547e-01	-0.600	0.537	0.785	9.553e-01
ATF7IP	-1.209	8.868e-01	-0.846	0.554	0.786	9.560e-01
MKL2	-0.688	7.541e-01	-1.508	0.557	0.787	9.567e-01
MBOAT4	-0.070	5.280e-01	-3.679	0.551	0.788	9.569e-01
PRDM14	-0.784	7.833e-01	-0.427	0.524	0.788	9.571e-01
BATF	-1.344	9.106e-01	-0.418	0.538	0.790	9.582e-01
SMAD3	-3.220	9.994e-01	-0.648	0.557	0.790	9.582e-01
TP73	-2.253	9.879e-01	-0.201	0.537	0.793	9.601e-01
SS18	-0.449	6.734e-01	-2.405	0.556	0.794	9.609e-01
KDM1B	-1.485	9.312e-01	-0.028	0.499	0.795	9.611e-01
TTF1	-0.945	8.277e-01	-0.479	0.529	0.796	9.617e-01
HMG20A	-0.890	8.133e-01	-0.370	0.520	0.796	9.619e-01
POU5F1	-5.259	1.000e+00	-0.346	0.547	0.797	9.623e-01
DLX2	-1.146	8.740e-01	-0.248	0.511	0.798	9.627e-01
TLE3	-3.464	9.997e-01	0.068	0.519	0.799	9.633e-01
SMARCC1	-2.302	9.893e-01	-1.481	0.567	0.799	9.635e-01
PRMT1	-1.149	8.746e-01	-0.450	0.529	0.799	9.635e-01
ZNF786	-0.132	5.525e-01	-3.047	0.548	0.801	9.645e-01
GLYR1	-0.125	5.496e-01	-5.109	0.548	0.806	9.669e-01
PPARG	-2.896	9.981e-01	-1.357	0.563	0.806	9.673e-01
UBE2I	-0.212	5.841e-01	-2.232	0.545	0.806	9.673e-01
ZNF558	-0.406	6.577e-01	-1.766	0.546	0.807	9.678e-01
ZFAT	-0.945	8.276e-01	-0.468	0.518	0.809	9.686e-01
CEBPB	-8.882	1.000e+00	-0.698	0.557	0.810	9.691e-01
SIX1	-1.221	8.889e-01	-0.873	0.548	0.811	9.694e-01
SMAD2-SMAD3	-1.626	9.480e-01	-0.757	0.548	0.812	9.701e-01
NR1H3	-1.057	8.548e-01	-0.826	0.541	0.812	9.703e-01
WRNIP1	-0.314	6.233e-01	-1.939	0.541	0.813	9.705e-01
NKX3-1	-2.033	9.790e-01	-0.118	0.508	0.815	9.716e-01
PAX6	-1.615	9.468e-01	-1.368	0.557	0.816	9.718e-01
BANF1	-1.504	9.337e-01	-0.496	0.527	0.819	9.733e-01
GPS2	-0.235	5.927e-01	-2.930	0.544	0.820	9.736e-01
FOSL2	-6.789	1.000e+00	-0.854	0.556	0.821	9.742e-01
TEAD4	-3.179	9.993e-01	-0.781	0.550	0.822	9.747e-01
TBX5	-2.954	9.984e-01	-0.175	0.514	0.822	9.748e-01
ATF4	-3.194	9.993e-01	-0.983	0.556	0.825	9.759e-01
PIAS1	-5.594	1.000e+00	-0.119	0.514	0.825	9.759e-01
NR1H2	-0.950	8.290e-01	-1.127	0.542	0.826	9.763e-01
CTCF	-23.640	1.000e+00	-1.358	0.561	0.828	9.769e-01
ZNF664	-0.617	7.315e-01	-1.438	0.538	0.832	9.787e-01
WWTR1	-1.272	8.984e-01	-0.601	0.522	0.833	9.789e-01
TCF21	-1.500	9.332e-01	-0.602	0.527	0.833	9.790e-01
EBNA3C	-1.992	9.768e-01	-0.506	0.526	0.834	9.794e-01
MYOG	-1.862	9.687e-01	-0.363	0.510	0.834	9.794e-01
TSHZ1	-0.518	6.978e-01	-2.958	0.548	0.834	9.795e-01
CBX2	-0.792	7.859e-01	-0.930	0.524	0.838	9.807e-01
MEF2B	-3.068	9.989e-01	-0.517	0.531	0.839	9.811e-01
TRIM22	-1.135	8.718e-01	-0.837	0.525	0.840	9.817e-01
ICE1	-0.466	6.795e-01	-3.171	0.542	0.845	9.834e-01
LHX2	-1.496	9.326e-01	-0.955	0.539	0.846	9.836e-01
RAD21	-8.781	1.000e+00	-1.946	0.563	0.847	9.840e-01
FOXH1	-1.871	9.693e-01	-0.554	0.513	0.849	9.845e-01
RING1	-1.583	9.432e-01	-0.883	0.535	0.850	9.848e-01
PGR	-1.376	9.156e-01	-0.655	0.504	0.852	9.854e-01
DEK	-0.689	7.545e-01	-3.243	0.548	0.852	9.855e-01
HOXB13	-6.528	1.000e+00	-0.399	0.514	0.853	9.858e-01
PITX3	-0.921	8.216e-01	-0.972	0.519	0.855	9.862e-01
SIX2	-3.299	9.995e-01	-0.440	0.506	0.857	9.869e-01
ZNF425	-0.637	7.381e-01	-1.860	0.530	0.858	9.870e-01
EBF3	-2.374	9.912e-01	-0.591	0.518	0.858	9.872e-01
OSR2	-1.034	8.493e-01	-1.722	0.539	0.859	9.874e-01
PROX1	-1.093	8.627e-01	-1.972	0.543	0.860	9.876e-01
SMC1A	-5.792	1.000e+00	-2.741	0.561	0.861	9.879e-01
ERCC3	-0.606	7.277e-01	-2.096	0.531	0.861	9.880e-01
ZNF366	-0.632	7.363e-01	-2.736	0.539	0.861	9.880e-01
ZSCAN20	-0.606	7.277e-01	-2.893	0.538	0.862	9.882e-01
HAND2	-1.540	9.383e-01	-0.659	0.496	0.863	9.884e-01
KMT2B	-0.808	7.904e-01	-1.421	0.523	0.863	9.885e-01
DUX4	-2.752	9.970e-01	-0.590	0.501	0.869	9.899e-01
EOMES	-3.130	9.991e-01	-0.577	0.501	0.871	9.903e-01
CTNNB1	-1.683	9.538e-01	-0.665	0.483	0.871	9.904e-01
CENPT	-1.726	9.578e-01	-0.653	0.467	0.872	9.905e-01
ZNF585A	-0.784	7.835e-01	-1.858	0.524	0.873	9.907e-01
PHOX2B	-1.723	9.575e-01	-0.666	0.471	0.874	9.911e-01
MEIS1	-2.076	9.810e-01	-0.801	0.518	0.875	9.911e-01
NUP98-HOXA9	-1.731	9.583e-01	-0.668	0.452	0.876	9.914e-01
SUMO1	-4.277	1.000e+00	-1.398	0.546	0.877	9.917e-01
DAXX	-1.466	9.286e-01	-0.987	0.515	0.877	9.917e-01
ELF3	-1.131	8.709e-01	-1.530	0.525	0.877	9.917e-01
HNF1B	-1.567	9.415e-01	-0.854	0.494	0.880	9.923e-01
PGBD3	-1.187	8.823e-01	-1.220	0.510	0.881	9.924e-01
STAG1	-5.589	1.000e+00	-1.238	0.540	0.884	9.929e-01
PAX3	-1.633	9.488e-01	-0.869	0.490	0.886	9.933e-01
ICE2	-0.650	7.420e-01	-3.203	0.529	0.886	9.934e-01
TEAD1	-3.197	9.993e-01	-0.742	0.509	0.887	9.935e-01
CENPC	-1.720	9.573e-01	-0.844	0.472	0.887	9.935e-01
ERCC2	-0.820	7.938e-01	-2.162	0.523	0.888	9.937e-01
SSU72	-1.399	9.190e-01	-1.211	0.503	0.891	9.941e-01
PCGF2	-1.744	9.594e-01	-0.974	0.510	0.892	9.944e-01
MAML3	-3.445	9.997e-01	-0.691	0.478	0.893	9.944e-01
ZNF35	-0.763	7.772e-01	-3.066	0.525	0.893	9.945e-01
PRDM6	-1.474	9.298e-01	-1.190	0.499	0.894	9.946e-01
ZBTB2	-1.776	9.621e-01	-1.032	0.507	0.897	9.951e-01
ESCO2	-0.784	7.836e-01	-3.146	0.524	0.898	9.952e-01
PDX1	-1.979	9.761e-01	-1.194	0.508	0.905	9.962e-01
PRDM1	-1.920	9.726e-01	-2.401	0.538	0.907	9.964e-01
SMARCA2	-2.395	9.917e-01	-0.957	0.485	0.907	9.964e-01
HES2	-6.599	1.000e+00	-0.947	0.513	0.908	9.965e-01
DRAP1	-1.124	8.695e-01	-2.111	0.512	0.908	9.965e-01
ZNF800	-1.381	9.163e-01	-2.084	0.519	0.911	9.968e-01
FEZF1	-1.555	9.401e-01	-2.068	0.523	0.914	9.971e-01
OTX2	-6.734	1.000e+00	-1.156	0.517	0.914	9.972e-01
HOXC9	-2.274	9.885e-01	-1.202	0.493	0.915	9.972e-01
KDM3B	-1.460	9.279e-01	-2.981	0.518	0.929	9.984e-01
TEAD1-TEAD4	-1.695	9.550e-01	-2.099	0.480	0.939	9.990e-01
LMNA	-2.239	9.874e-01	-1.999	0.501	0.941	9.991e-01
SMC3	-7.264	1.000e+00	-2.539	0.527	0.944	9.992e-01
ZNF654	-2.282	9.888e-01	-2.036	0.492	0.945	9.993e-01
TOP1	-2.907	9.982e-01	-5.104	0.525	0.950	9.994e-01
